Beviow Bob Doubles|3.145.5.3.125.123.5.145.3.125
Stanford-on-Avon Bob Doubles|3.145.5.3.125.3.125.1.345.125
Sudborough Bob Doubles|3.145.5.3.125.3.125.145.3.125
Blakesley Bob Doubles|3.145.5.3.125.3.5.145.5.1
Stoke Doyle Bob Doubles|3.145.5.3.145.1.5.1.3.125
South Collingham Bob Doubles|3.145.5.3.345.1.5.145.3.1
Hambleton Bob Doubles|3.145.5.3.345.3.5.1.3.125
Great Oxendon Bob Doubles|3.145.5.3.5.123.125.1.345.125
Thrapston Bob Doubles|3.145.5.3.5.123.125.145.3.125
Leslie Evans Bob Doubles|3.145.5.3.5.123.125.145.5.123
Milthorpe Bob Doubles|3.145.5.3.5.123.5.145.5.1
Brixworth Bob Doubles|3.145.5.3.5.3.125.145.5.1
Ashley Bob Doubles|3.145.5.3.5.3.5.1.345.125
Mr Thompson with a "P" Bob Doubles|3.145.5.3.5.3.5.145.5.123
Blaston Place Doubles|345.1.125.123.125.123.5.1.345.125
Drayton Place Doubles|345.1.125.123.125.3.125.1.345.125
Fawsley Bob Doubles|345.1.125.123.345.123.125.1.3.125
Loddington Place Doubles|345.1.125.123.5.123.125.145.3.125
Hopton Heath Place Doubles|345.1.125.123.5.123.125.145.5.123
Wellingborough Bob Doubles|345.1.125.123.5.3.5.1.345.125
Farthingstone Bob Doubles|345.1.125.123.5.3.5.145.3.125
Thomas Cooper Bob Doubles|345.1.125.123.5.3.5.145.5.123
Horninghold Place Doubles|345.1.125.3.125.123.125.1.345.125
Bulwick Bob Doubles|345.1.125.3.125.3.5.1.345.125
Denton Bob Doubles|345.1.125.3.125.3.5.145.3.125
Thorpe Mandeville Bob Doubles|345.1.125.3.345.3.125.1.3.125
Barnack Bob Doubles|345.1.125.3.5.123.5.1.345.125
Great Billing Bob Doubles|345.1.125.3.5.123.5.145.3.125
Percy Watkins Bob Doubles|345.1.125.3.5.123.5.145.5.123
Cranford St Andrew Bob Doubles|345.1.125.3.5.3.125.145.3.125
Wilfred A Stokes Bob Doubles|345.1.125.3.5.3.125.145.5.123
Croughton Bob Doubles|345.1.5.1.145.3.5.1.3.125
Nowell Place Doubles|345.1.5.1.5.1.5.145.3.125
Arnesby Bob Doubles|345.1.5.123.125.3.5.1.345.125
Apethorpe Bob Doubles|345.1.5.123.125.3.5.145.3.125
